iter	Passed	Remaining
0	1	150
1	3	156
2	4	149
3	5	141
4	6	132
5	8	125
6	9	121
7	10	116
8	11	112
9	12	108
10	13	105
11	14	103
12	15	100
13	16	98
14	17	101
15	19	100
16	20	100
17	21	98
18	22	96
19	23	94
20	24	92
21	25	90
22	26	89
23	27	87
24	28	85
25	29	84
26	31	84
27	32	83
28	33	83
29	35	82
30	36	80
31	37	78
32	38	77
33	39	75
34	40	74
35	41	73
36	42	71
37	43	70
38	44	69
39	45	68
40	47	68
41	47	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	59
47	54	58
48	55	57
49	56	56
50	57	54
51	58	54
52	61	54
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	76	39
66	77	38
67	78	37
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	89	25
78	90	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	15
86	99	14
87	100	13
88	101	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
