iter	Passed	Remaining
0	153	153044
1	157	78353
2	159	52981
3	161	40201
4	163	32538
5	165	27466
6	167	23804
7	171	21226
8	173	19143
9	180	17912
10	183	16470
11	185	15295
12	187	14255
13	193	13605
14	195	12833
15	197	12146
16	199	11512
17	208	11374
18	210	10881
19	213	10468
20	217	10141
21	221	9825
22	223	9478
23	225	9161
24	229	8934
25	231	8664
26	234	8454
27	237	8237
28	240	8038
29	242	7843
30	246	7710
31	249	7560
32	254	7446
33	265	7530
34	267	7374
35	272	7302
36	275	7174
37	277	7029
38	280	6905
39	282	6770
40	304	7119
41	307	7003
42	315	7025
43	321	6990
44	325	6908
45	327	6793
46	335	6796
47	337	6700
48	354	6880
49	356	6773
50	358	6669
51	373	6816
52	390	6974
53	398	6985
54	401	6893
55	403	6799
56	409	6767
57	426	6930
58	430	6860
59	432	6782
60	435	6698
61	439	6648
62	442	6580
63	444	6507
64	447	6431
65	449	6355
66	454	6329
67	457	6264
68	459	6195
69	472	6282
70	475	6221
71	480	6197
72	485	6168
73	488	6111
74	495	6111
75	500	6079
76	502	6019
77	504	5957
78	514	6003
79	521	5994
80	532	6041
81	535	5999
82	536	5932
83	543	5923
84	550	5927
85	556	5909
86	560	5883
87	562	5830
88	564	5780
89	579	5858
90	588	5876
91	590	5827
92	604	5897
93	607	5854
94	609	5805
95	614	5784
96	617	5751
97	619	5705
98	621	5659
99	623	5615
100	632	5634
101	634	5589
102	637	5555
103	646	5569
104	669	5704
105	671	5659
106	680	5680
107	682	5637
108	685	5603
109	694	5619
110	698	5591
111	700	5551
112	707	5557
113	710	5518
114	712	5480
115	714	5443
116	740	5591
117	742	5552
118	744	5514
119	746	5476
120	754	5478
121	760	5469
122	762	5433
123	768	5432
124	771	5397
125	773	5362
126	775	5332
127	782	5331
128	784	5296
129	808	5413
130	815	5410
131	817	5376
132	821	5358
133	823	5323
134	825	5291
135	827	5259
136	830	5232
137	833	5203
138	840	5207
139	849	5217
140	855	5212
141	861	5206
142	863	5176
143	869	5168
144	871	5140
145	874	5113
146	878	5096
147	884	5093
148	890	5087
149	893	5060
150	895	5034
151	901	5026
152	903	5002
153	905	4974
154	922	5030
155	928	5023
156	930	4998
157	932	4970
158	934	4941
159	936	4915
160	938	4889
161	954	4937
162	962	4941
163	966	4925
164	968	4899
165	975	4898
166	982	4900
167	997	4942
168	999	4916
169	1012	4943
170	1060	5140
171	1076	5180
172	1081	5171
173	1084	5148
174	1089	5137
175	1092	5113
176	1097	5103
177	1099	5075
178	1108	5084
179	1117	5091
180	1121	5073
181	1127	5069
182	1130	5047
183	1132	5023
184	1144	5041
185	1154	5050
186	1156	5026
187	1158	5001
188	1159	4976
189	1161	4952
190	1173	4971
191	1175	4946
192	1179	4931
193	1184	4922
194	1186	4897
195	1188	4877
196	1190	4851
197	1191	4827
198	1196	4814
199	1198	4794
200	1200	4773
201	1202	4749
202	1204	4727
203	1205	4705
204	1207	4683
205	1214	4679
206	1216	4659
207	1218	4637
208	1219	4615
209	1221	4595
210	1223	4574
211	1227	4561
212	1230	4545
213	1231	4524
214	1234	4505
215	1235	4485
216	1237	4464
217	1241	4454
218	1243	4434
219	1245	4414
220	1246	4395
221	1248	4374
222	1250	4356
223	1252	4337
224	1255	4324
225	1257	4306
226	1259	4288
227	1261	4270
228	1263	4253
229	1265	4235
230	1267	4219
231	1271	4207
232	1272	4189
233	1274	4170
234	1275	4152
235	1276	4133
236	1278	4115
237	1280	4098
238	1281	4081
239	1284	4067
240	1286	4050
241	1287	4032
242	1288	4015
243	1290	3999
244	1292	3982
245	1293	3965
246	1295	3949
247	1297	3933
248	1300	3921
249	1302	3906
250	1303	3890
251	1305	3874
252	1306	3858
253	1308	3842
254	1309	3826
255	1311	3810
256	1314	3799
257	1315	3784
258	1317	3768
259	1318	3753
260	1320	3737
261	1321	3722
262	1322	3707
263	1324	3691
264	1327	3681
265	1329	3667
266	1330	3652
267	1332	3638
268	1333	3623
