iter	Passed	Remaining
0	1	158
1	3	149
2	4	141
3	5	129
4	6	129
5	8	125
6	9	121
7	10	117
8	11	113
9	12	110
10	13	108
11	14	107
12	15	105
13	17	105
14	18	104
15	19	103
16	21	103
17	22	103
18	24	102
19	25	100
20	26	99
21	31	112
22	34	115
23	39	123
24	41	123
25	43	123
26	45	123
27	47	123
28	49	121
29	51	119
30	52	117
31	54	115
32	56	113
33	57	112
34	59	110
35	61	109
36	63	108
37	65	106
38	66	104
39	68	103
40	70	101
41	71	98
42	72	95
43	73	93
44	74	90
45	76	89
46	78	87
47	79	86
48	81	84
49	82	82
50	84	81
51	86	79
52	87	77
53	90	77
54	92	75
55	93	73
56	96	72
57	98	71
58	100	69
59	102	68
60	104	66
61	106	65
62	108	63
63	111	62
64	113	60
65	114	59
66	117	57
67	124	58
68	126	56
69	127	54
70	129	52
71	132	51
72	134	49
73	138	48
74	140	46
75	142	44
76	144	43
77	145	41
78	147	39
79	149	37
80	151	35
81	162	35
82	164	33
83	167	31
84	169	29
85	170	27
86	172	25
87	174	23
88	176	21
89	178	19
90	180	17
91	181	15
92	183	13
93	185	11
94	187	9
95	188	7
96	190	5
97	192	3
98	195	1
99	203	0
